,label
0,5
1,1
2,1
3,2
4,4
5,1
6,4
7,3
8,5
9,6
10,5
11,3
12,6
13,5
14,1
15,4
16,5
17,6
18,1
19,5
20,0
21,6
22,1
23,6
24,2
25,0
26,4
27,3
28,0
29,2
30,1
31,1
32,6
33,6
34,1
35,1
36,5
37,6
38,1
39,5
40,7
41,1
42,1
43,1
44,5
45,1
46,5
47,3
48,3
49,7
50,3
51,5
52,1
53,5
54,5
55,1
56,0
57,5
58,3
59,5
60,6
61,1
62,4
63,5
64,7
65,4
66,1
67,0
68,2
69,5
70,0
71,0
72,1
73,0
74,1
75,5
76,5
77,1
78,5
79,6
80,0
81,4
82,2
83,2
84,1
85,0
86,5
87,5
88,2
89,3
90,6
91,6
92,0
93,0
94,7
95,5
96,7
97,5
98,1
99,6
100,1
101,2
102,2
103,1
104,1
105,6
106,1
107,6
108,1
109,7
110,6
111,2
112,3
113,1
114,1
115,3
116,1
117,1
118,4
119,6
120,3
121,2
122,2
123,3
124,5
125,1
126,1
127,7
128,1
129,1
130,6
131,4
132,5
133,6
134,6
135,1
136,6
137,6
138,5
139,0
140,6
141,1
142,5
143,6
144,1
145,6
146,5
147,0
148,1
149,1
150,1
151,1
152,0
153,1
154,5
155,2
156,1
157,6
158,0
159,7
160,1
161,1
162,5
163,0
164,1
165,5
166,1
167,5
168,5
169,1
170,1
171,3
172,7
173,5
174,2
175,1
176,2
177,1
178,4
179,7
180,5
181,0
182,7
183,4
184,5
185,5
186,4
187,4
188,1
189,1
190,1
191,5
192,0
193,2
194,3
195,1
196,2
197,1
198,2
199,2
200,5
201,2
202,5
203,0
204,1
205,1
206,1
207,4
208,1
209,4
210,7
211,0
212,7
213,0
214,7
215,1
216,5
217,6
218,3
219,2
220,1
221,5
222,6
223,7
224,1
225,1
226,5
227,2
228,2
229,6
230,4
231,4
232,6
233,0
234,2
235,3
236,4
237,1
238,1
239,0
240,1
241,6
242,5
243,5
244,5
245,1
246,1
247,1
248,1
249,2
250,6
251,4
252,2
253,1
254,1
255,0
256,5
257,7
258,1
259,6
260,1
261,7
262,1
263,5
264,4
265,6
266,1
267,1
268,5
269,1
270,6
271,5
272,1
273,3
274,0
275,1
276,5
277,4
278,0
279,7
280,1
281,1
282,1
283,1
284,2
285,5
286,1
287,3
288,5
289,1
290,7
291,2
292,2
293,1
294,7
295,1
296,1
297,4
298,7
299,0
300,0
301,5
302,1
303,5
304,1
305,5
306,5
307,1
308,1
309,2
310,1
311,0
312,5
313,1
314,2
315,1
316,5
317,1
318,5
319,3
320,1
321,1
322,7
323,0
324,1
325,5
326,3
327,3
328,5
329,1
330,1
331,1
332,7
333,3
334,5
335,0
336,1
337,0
338,0
339,4
340,2
341,5
342,4
343,6
344,1
345,5
346,5
347,6
348,6
349,1
350,1
351,5
352,4
353,5
354,7
355,1
356,2
357,5
358,5
359,5
360,1
361,1
362,4
363,6
364,1
365,6
366,1
367,5
368,5
369,6
370,1
371,0
372,5
373,5
374,6
375,0
376,5
377,5
378,1
379,4
380,6
381,1
382,1
383,2
384,3
385,5
386,5
387,5
388,4
389,5
390,6
391,6
392,6
393,2
394,1
395,3
396,5
397,0
398,1
399,6
400,0
401,6
402,1
403,5
404,7
405,5
406,1
407,0
408,1
409,5
410,7
411,5
412,7
413,5
414,5
415,1
416,0
417,2
418,5
419,6
420,6
421,1
422,1
423,1
424,1
425,5
426,0
427,1
428,1
429,1
430,2
431,5
432,0
433,5
434,2
435,1
436,5
437,5
438,5
439,0
440,5
441,1
442,5
443,0
444,1
445,5
446,2
447,2
448,1
449,5
450,0
451,4
452,2
453,3
454,1
455,0
456,1
457,1
458,3
459,2
460,2
461,1
462,5
463,0
464,7
465,1
466,7
467,5
468,6
469,0
470,4
471,5
472,5
473,1
474,5
475,1
476,0
477,4
478,7
479,5
480,1
481,1
482,1
483,5
484,2
485,6
486,7
487,1
488,5
489,5
490,1
491,5
492,7
493,6
494,5
495,0
496,1
497,5
498,7
499,5
500,4
501,0
502,1
503,5
504,0
505,1
506,3
507,5
508,6
509,1
510,0
511,5
512,0
513,2
514,3
515,2
516,5
517,2
518,5
519,1
520,1
521,1
522,2
523,5
524,0
525,1
526,4
527,1
528,2
529,1
530,3
531,1
532,1
533,1
534,5
535,2
536,2
537,1
538,2
539,3
540,1
541,1
542,1
543,6
544,5
545,5
546,5
547,0
548,1
549,1
550,4
551,5
552,0
553,5
554,0
555,2
556,1
557,1
558,1
559,5
560,1
561,5
562,1
563,7
564,5
565,1
566,5
567,5
568,7
569,6
570,6
571,1
572,5
573,3
574,0
575,7
576,2
577,2
578,5
579,7
580,7
581,5
582,5
583,2
584,5
585,5
586,5
587,1
588,2
589,1
590,5
591,2
592,1
593,2
594,5
595,1
596,5
597,0
598,7
599,6
600,1
601,5
602,1
603,1
604,7
605,5
606,4
607,3
608,0
609,0
610,0
611,7
612,5
613,5
614,4
615,1
616,2
617,5
618,5
619,5
620,1
621,0
622,6
623,1
624,5
625,5
626,2
627,7
628,1
629,5
630,6
631,0
632,0
633,2
634,6
635,5
636,2
637,5
638,5
639,5
640,5
641,6
642,5
643,1
644,5
645,7
646,1
647,5
648,1
649,5
650,3
651,5
652,1
653,5
654,6
655,1
656,3
657,7
658,0
659,0
660,1
661,2
662,5
663,0
664,1
665,5
666,0
667,1
668,2
669,5
670,1
671,7
672,3
673,5
674,5
675,6
676,6
677,5
678,5
679,5
680,1
681,2
682,1
683,1
684,5
685,1
686,5
687,2
688,5
689,3
690,1
691,5
692,7
693,1
694,5
695,6
696,1
697,4
698,1
699,4
700,0
701,5
702,2
703,5
704,0
705,5
706,1
707,7
708,0
709,5
710,5
711,0
712,1
713,5
714,5
715,1
716,6
717,5
718,7
719,5
720,2
721,1
722,1
723,4
724,5
725,1
726,5
727,1
728,2
729,5
730,6
731,5
732,5
733,7
734,4
735,0
736,7
737,5
738,5
739,1
740,1
741,5
742,0
743,5
744,5
745,1
746,1
747,0
748,0
749,0
750,5
751,4
752,1
753,5
754,6
755,1
756,1
757,0
758,5
759,5
760,3
761,5
762,5
763,5
764,7
765,5
766,5
767,5
768,5
769,5
770,1
771,0
772,1
773,5
774,5
775,5
776,0
777,3
778,1
779,1
780,3
781,5
782,5
783,5
784,7
785,7
786,7
787,5
788,6
789,5
790,5
791,7
792,1
793,6
794,5
795,0
796,5
797,1
798,5
799,1
800,1
801,3
802,1
803,5
804,5
805,5
806,5
807,5
808,1
809,5
810,5
811,3
812,6
813,5
814,2
815,5
816,5
817,5
818,1
819,1
820,1
821,2
